Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 10:28:55 | 53.4
Fecha y hora | Temperatura (°C)
-------------------------------
2025-05-17 10:32:42 | 54.5
2025-05-17 10:33:12 | 54.0
2025-05-17 10:33:42 | 53.4
2025-05-17 10:34:12 | 54.5
2025-05-17 10:34:42 | 54.5
2025-05-17 10:35:12 | 54.5
2025-05-17 10:35:42 | 54.5
2025-05-17 10:36:12 | 54.0
2025-05-17 10:36:42 | 56.2
2025-05-17 10:37:12 | 55.1
2025-05-17 10:37:42 | 55.1
2025-05-17 10:38:12 | 55.1
2025-05-17 10:38:42 | 55.1
2025-05-17 10:39:12 | 54.5
2025-05-17 10:39:42 | 55.1
2025-05-17 10:40:12 | 55.1
2025-05-17 10:40:42 | 55.1
2025-05-17 10:41:12 | 55.1
2025-05-17 10:41:42 | 55.6
2025-05-17 10:42:12 | 53.4
2025-05-17 10:42:42 | 55.6
2025-05-17 10:43:12 | 55.1
2025-05-17 10:43:42 | 55.1
2025-05-17 10:44:12 | 55.6
2025-05-17 10:44:42 | 55.1
2025-05-17 10:45:12 | 55.1
2025-05-17 10:45:42 | 56.2
2025-05-17 10:46:12 | 57.3
2025-05-17 10:46:42 | 55.6
2025-05-17 10:47:12 | 56.2
2025-05-17 10:47:42 | 56.2
2025-05-17 10:48:12 | 57.3
2025-05-17 10:48:42 | 55.1
2025-05-17 10:49:12 | 56.7
2025-05-17 10:49:42 | 56.7
2025-05-17 10:50:12 | 57.3
2025-05-17 10:50:42 | 56.7
2025-05-17 10:51:12 | 56.7
2025-05-17 10:51:42 | 57.8
2025-05-17 10:52:12 | 56.2
2025-05-17 10:52:42 | 57.3
2025-05-17 10:53:12 | 58.4
2025-05-17 10:53:42 | 58.4
2025-05-17 10:54:12 | 57.8
2025-05-17 10:54:42 | 57.3
2025-05-17 10:55:12 | 57.3
2025-05-17 10:55:42 | 57.8
2025-05-17 10:56:12 | 57.3
2025-05-17 10:56:42 | 56.7
2025-05-17 10:57:12 | 57.8
2025-05-17 10:57:42 | 57.3
2025-05-17 10:58:12 | 57.3
2025-05-17 10:58:42 | 56.7
2025-05-17 10:59:12 | 58.9
2025-05-17 10:59:42 | 57.3
2025-05-17 11:00:12 | 56.2
2025-05-17 11:00:42 | 57.3
2025-05-17 11:01:12 | 58.4
2025-05-17 11:01:42 | 57.3
2025-05-17 11:02:12 | 56.7
2025-05-17 11:02:42 | 57.3
2025-05-17 11:03:12 | 56.2
2025-05-17 11:03:42 | 55.1
2025-05-17 11:04:12 | 57.8
2025-05-17 11:04:42 | 57.3
2025-05-17 11:05:12 | 56.7
2025-05-17 11:05:42 | 55.6
2025-05-17 11:06:12 | 56.2
2025-05-17 11:06:42 | 56.2
2025-05-17 11:07:12 | 56.2
2025-05-17 11:07:42 | 56.2
2025-05-17 11:08:12 | 56.7
2025-05-17 11:08:42 | 56.2
2025-05-17 11:09:12 | 56.2
2025-05-17 11:09:42 | 56.2
2025-05-17 11:10:12 | 56.7
2025-05-17 11:10:42 | 56.2
2025-05-17 11:11:12 | 55.1
2025-05-17 11:11:42 | 55.6
2025-05-17 11:12:12 | 56.7
2025-05-17 11:12:42 | 56.7
2025-05-17 11:13:12 | 57.8
2025-05-17 11:13:42 | 56.7
2025-05-17 11:14:12 | 57.3
2025-05-17 11:14:42 | 57.3
2025-05-17 11:15:12 | 58.4
2025-05-17 11:15:42 | 56.7
2025-05-17 11:16:12 | 56.7
2025-05-17 11:16:42 | 56.7
2025-05-17 11:17:12 | 57.3
2025-05-17 11:17:42 | 56.2
2025-05-17 11:18:12 | 55.6
2025-05-17 11:18:42 | 57.3
2025-05-17 11:19:12 | 58.9
2025-05-17 11:19:42 | 56.2
2025-05-17 11:20:12 | 55.1
2025-05-17 11:20:42 | 56.7
2025-05-17 11:21:12 | 56.7
2025-05-17 11:21:42 | 56.2
2025-05-17 11:22:12 | 55.6
2025-05-17 11:22:42 | 56.2
2025-05-17 11:23:12 | 56.2
2025-05-17 11:23:42 | 57.3
2025-05-17 11:24:12 | 56.7
2025-05-17 11:24:42 | 56.7
2025-05-17 11:25:12 | 56.7
2025-05-17 11:25:42 | 58.9
2025-05-17 11:26:12 | 57.3
2025-05-17 11:26:42 | 56.7
2025-05-17 11:27:12 | 57.3
2025-05-17 11:27:42 | 57.3
2025-05-17 11:28:12 | 57.3
2025-05-17 11:28:42 | 57.8
2025-05-17 11:29:12 | 57.8
2025-05-17 11:29:42 | 57.3
2025-05-17 11:30:12 | 56.7
2025-05-17 11:30:43 | 57.8
2025-05-17 11:31:13 | 57.3
2025-05-17 11:31:43 | 57.3
2025-05-17 11:32:13 | 57.8
2025-05-17 11:32:43 | 57.8
2025-05-17 11:33:13 | 60.0
2025-05-17 11:33:43 | 57.3
2025-05-17 11:34:13 | 56.7
2025-05-17 11:34:43 | 56.7
2025-05-17 11:35:13 | 56.7
2025-05-17 11:35:43 | 55.1
2025-05-17 11:36:13 | 55.1
2025-05-17 11:36:43 | 55.6
2025-05-17 11:37:13 | 57.3
2025-05-17 11:37:43 | 56.7
2025-05-17 11:38:13 | 55.1
2025-05-17 11:38:43 | 56.7
2025-05-17 11:39:13 | 56.7
2025-05-17 11:39:43 | 60.6
2025-05-17 11:40:13 | 58.4
2025-05-17 11:40:43 | 56.7
2025-05-17 11:41:13 | 57.3
2025-05-17 11:41:43 | 57.3
2025-05-17 11:42:13 | 56.2
2025-05-17 11:42:43 | 56.2
2025-05-17 11:43:13 | 56.7
2025-05-17 11:43:43 | 57.8
2025-05-17 11:44:13 | 57.8
2025-05-17 11:44:43 | 56.7
2025-05-17 11:45:13 | 58.4
